,City,Date,High_Temp,Low_Tem,Condition,Precipitation,Wind
1,Chennai,26/08,34°,26°,Sun and areas of high clouds,6%,WSW 13 km/h
2,Chennai,27/08,33°,26°,A few afternoon showers,68%,WSW 15 km/h
3,Chennai,28/08,34°,27°,An afternoon shower or two,56%,WSW 17 km/h
4,Chennai,29/08,35°,27°,Sun through high clouds,22%,SW 15 km/h
5,Chennai,30/08,34°,27°,Sun through high clouds,17%,WSW 15 km/h
6,Chennai,31/08,35°,26°,Sun through high clouds,25%,SW 15 km/h
7,Chennai,01/09,35°,26°,Sunny periods,25%,SW 7 km/h
8,Chennai,02/09,34°,26°,Sun through high clouds,25%,WSW 6 km/h
9,Chennai,03/09,35°,25°,Sunny periods,25%,WSW 7 km/h
10,Chennai,04/09,35°,26°,Mostly sunny,13%,SSW 7 km/h
