,DATE,TEAM-A,RESULT,TEAM-B
0,24-05-2025,Alaves,1 - 1,Osasuna
1,18-05-2025,Valladolid,0 - 1,Alaves
2,14-05-2025,Alaves,1 - 0,Valencia
3,11-05-2025,Ath Bilbao,1 - 0,Alaves
4,03-05-2025,Alaves,0 - 0,Ath Madrid
5,23-04-2025,Alaves,1 - 0,Sociedad
6,20-04-2025,Sevilla,1 - 1,Alaves
7,13-04-2025,Alaves,0 - 1,Real Madrid
8,05-04-2025,Girona,0 - 1,Alaves
9,29-03-2025,Alaves,0 - 2,Vallecano
10,14-03-2025,Las Palmas,2 - 2,Alaves
11,08-03-2025,Alaves,1 - 0,Villarreal
12,02-03-2025,Mallorca,1 - 1,Alaves
13,22-02-2025,Alaves,0 - 1,Espanol
14,09-02-2025,Alaves,0 - 1,Getafe
15,02-02-2025,FC Barcelona,1 - 0,Alaves
16,27-01-2025,Alaves,1 - 1,Celta
17,11-01-2025,Alaves,0 - 1,Girona
18,22-12-2024,Valencia,2 - 2,Alaves
19,15-12-2024,Alaves,1 - 1,Ath Bilbao
20,08-12-2024,Osasuna,2 - 2,Alaves
21,30-11-2024,Alaves,1 - 1,Leganes
22,23-11-2024,Ath Madrid,2 - 1,Alaves
23,09-11-2024,Villarreal,3 - 0,Alaves
24,01-11-2024,Alaves,1 - 0,Mallorca
25,26-10-2024,Vallecano,1 - 0,Alaves
26,18-10-2024,Alaves,2 - 3,Valladolid
27,06-10-2024,Alaves,0 - 3,FC Barcelona
28,28-09-2024,Getafe,2 - 0,Alaves
29,24-09-2024,Real Madrid,3 - 2,Alaves
30,20-09-2024,Alaves,2 - 1,Sevilla
31,14-09-2024,Espanol,3 - 2,Alaves
32,01-09-2024,Alaves,2 - 0,Las Palmas
33,28-08-2024,Sociedad,1 - 2,Alaves
34,25-08-2024,Alaves,0 - 0,Betis
35,16-08-2024,Celta,2 - 1,Alaves
36,25-05-2025,Ath Bilbao,0 - 3,FC Barcelona
37,18-05-2025,Valencia,0 - 1,Ath Bilbao
38,15-05-2025,Getafe,0 - 2,Ath Bilbao
39,11-05-2025,Ath Bilbao,1 - 0,Alaves
40,04-05-2025,Sociedad,0 - 0,Ath Bilbao
41,23-04-2025,Ath Bilbao,1 - 0,Las Palmas
42,20-04-2025,Real Madrid,1 - 0,Ath Bilbao
43,06-04-2025,Villarreal,0 - 0,Ath Bilbao
44,30-03-2025,Ath Bilbao,0 - 0,Osasuna
45,16-03-2025,Sevilla,0 - 1,Ath Bilbao
46,09-03-2025,Ath Bilbao,1 - 1,Mallorca
47,01-03-2025,Ath Madrid,1 - 0,Ath Bilbao
48,16-02-2025,Espanol,1 - 1,Ath Bilbao
49,02-02-2025,Betis,2 - 2,Ath Bilbao
50,26-01-2025,Ath Bilbao,0 - 0,Leganes
51,19-01-2025,Celta,1 - 2,Ath Bilbao
52,21-12-2024,Osasuna,1 - 2,Ath Bilbao
53,15-12-2024,Alaves,1 - 1,Ath Bilbao
54,08-12-2024,Ath Bilbao,2 - 0,Villarreal
55,04-12-2024,Ath Bilbao,2 - 1,Real Madrid
56,01-12-2024,Vallecano,1 - 2,Ath Bilbao
57,24-11-2024,Ath Bilbao,1 - 0,Sociedad
58,10-11-2024,Valladolid,1 - 1,Ath Bilbao
59,03-11-2024,Ath Bilbao,1 - 1,Betis
60,28-10-2024,Mallorca,0 - 0,Ath Bilbao
61,06-10-2024,Girona,2 - 1,Ath Bilbao
62,29-09-2024,Ath Bilbao,1 - 1,Sevilla
63,19-09-2024,Leganes,0 - 2,Ath Bilbao
64,31-08-2024,Ath Bilbao,0 - 1,Ath Madrid
65,28-08-2024,Ath Bilbao,1 - 0,Valencia
66,24-08-2024,FC Barcelona,2 - 1,Ath Bilbao
67,15-08-2024,Ath Bilbao,1 - 1,Getafe
68,15-05-2025,Osasuna,2 - 0,Ath Madrid
69,03-05-2025,Alaves,0 - 0,Ath Madrid
70,19-04-2025,Las Palmas,1 - 0,Ath Madrid
71,06-04-2025,Sevilla,1 - 2,Ath Madrid
72,29-03-2025,Espanol,1 - 1,Ath Madrid
73,16-03-2025,Ath Madrid,2 - 4,FC Barcelona
74,09-03-2025,Getafe,2 - 1,Ath Madrid
75,01-03-2025,Ath Madrid,1 - 0,Ath Bilbao
76,15-02-2025,Ath Madrid,1 - 1,Celta
77,08-02-2025,Real Madrid,1 - 1,Ath Madrid
78,01-02-2025,Ath Madrid,2 - 0,Mallorca
79,25-01-2025,Ath Madrid,1 - 1,Villarreal
80,18-01-2025,Leganes,1 - 0,Ath Madrid
81,12-01-2025,Ath Madrid,1 - 0,Osasuna
82,21-12-2024,FC Barcelona,1 - 2,Ath Madrid
83,15-12-2024,Ath Madrid,1 - 0,Getafe
84,23-11-2024,Ath Madrid,2 - 1,Alaves
85,10-11-2024,Mallorca,0 - 1,Ath Madrid
86,03-11-2024,Ath Madrid,2 - 0,Las Palmas
87,27-10-2024,Betis,1 - 0,Ath Madrid
88,06-10-2024,Sociedad,1 - 1,Ath Madrid
89,29-09-2024,Ath Madrid,1 - 1,Real Madrid
90,26-09-2024,Celta,0 - 1,Ath Madrid
91,22-09-2024,Vallecano,1 - 1,Ath Madrid
92,31-08-2024,Ath Bilbao,0 - 1,Ath Madrid
93,28-08-2024,Ath Madrid,0 - 0,Espanol
94,19-08-2024,Villarreal,2 - 2,Ath Madrid
95,23-05-2025,Betis,1 - 1,Valencia
96,18-05-2025,Ath Madrid,4 - 1,Betis
97,15-05-2025,Vallecano,2 - 2,Betis
98,11-05-2025,Betis,1 - 1,Osasuna
99,04-05-2025,Espanol,1 - 2,Betis
100,13-04-2025,Betis,1 - 2,Villarreal
101,05-04-2025,FC Barcelona,1 - 1,Betis
102,30-03-2025,Betis,2 - 1,Sevilla
103,09-03-2025,Betis,1 - 0,Las Palmas
104,01-03-2025,Betis,2 - 1,Real Madrid
105,23-02-2025,Getafe,1 - 2,Betis
106,08-02-2025,Celta,3 - 2,Betis
107,02-02-2025,Betis,2 - 2,Ath Bilbao
108,25-01-2025,Mallorca,0 - 1,Betis
109,18-01-2025,Betis,1 - 3,Alaves
110,11-01-2025,Valladolid,1 - 0,Betis
111,22-12-2024,Betis,1 - 1,Vallecano
112,15-12-2024,Villarreal,1 - 2,Betis
113,07-12-2024,Betis,2 - 2,FC Barcelona
114,01-12-2024,Sociedad,2 - 0,Betis
115,23-11-2024,Valencia,4 - 2,Betis
116,10-11-2024,Betis,2 - 2,Celta
117,03-11-2024,Ath Bilbao,1 - 1,Betis
118,27-10-2024,Betis,1 - 0,Ath Madrid
119,19-10-2024,Osasuna,1 - 2,Betis
120,06-10-2024,Sevilla,1 - 0,Betis
121,29-09-2024,Betis,1 - 0,Espanol
122,26-09-2024,Las Palmas,1 - 1,Betis
123,23-09-2024,Betis,1 - 2,Mallorca
124,18-09-2024,Betis,2 - 1,Getafe
125,13-09-2024,Betis,2 - 0,Leganes
126,01-09-2024,Real Madrid,2 - 0,Betis
127,25-08-2024,Alaves,0 - 0,Betis
128,15-08-2024,Betis,1 - 1,Girona
129,24-05-2025,Getafe,1 - 2,Celta
130,18-05-2025,Celta,1 - 2,Vallecano
131,13-05-2025,Sociedad,0 - 1,Celta
132,04-05-2025,Real Madrid,3 - 2,Celta
133,12-04-2025,Celta,0 - 2,Espanol
134,05-04-2025,Mallorca,1 - 2,Celta
135,31-03-2025,Celta,1 - 1,Las Palmas
136,15-03-2025,Valladolid,0 - 1,Celta
137,08-03-2025,Celta,2 - 1,Leganes
138,01-03-2025,Girona,2 - 2,Celta
139,21-02-2025,Celta,1 - 0,Osasuna
