Tournament_Dates,Name_of_tournaments,Location_place,Location_state
"Jan 1 - Sep 1, 2025",BIG SHOTS CIRCUIT 8 PACK 2025,Myrtle Beach,South Carolina
"Jan 1 - Sep 1, 2025",BIG SHOTS CIRCUIT 6 PACK 2025,Myrtle Beach,South Carolina
"Jan 1 - Sep 1, 2025",BIG SHOTS CIRCUIT 4 PACK 2025,Myrtle Beach,South Carolina
"Jan 1 - Apr 4, 2025",S.A.B.A- 4 TOURNAMENTS PACKAGE DEAL,Columbia,South Carolina
"Jan 1 - Dec 31, 2025",INSURANCE COVERAGE 25,Saco,Maine
"Jan 1-31, 2025",CITMO TOURNAMENTS,Miami,Florida
"Jan 1, 2025",WIDGET REGISTRATION TEMPLATE,Louisville,Kentucky
"Jan 1 - Mar 31, 2025",WINTER HOUSE LEAGUE 2025,Milton,Canada
"Jan 2-5, 2025",WNC HOLIDAY FESTIVAL,Asheville,North Carolina
"Jan 2-4, 2025",INAUGURAL NEW YEAR'S TIP-OFF,Gilbert,Arizona
"Jan 2-4, 2025",FUTURE STARZ JV CHALLENGE I,Fort Lauderdale,Florida
"Jan 2-4, 2025",NIKE TOURNAMENT OF CHAMPIONS FEATURING HOOPHALL WEST,Mesa,Arizona
"Jan 2-3, 2025",ALA GAMES,Montgomery,Alabama
"Jan 2-3, 2025",TRIPLE THREAT ATTACK AND FINISH,Elgin,Illinois
"Jan 3-5, 2025",2025 WINTER JAM,Duncanville,Texas
"Jan 3-5, 2025",SYNERGY SPORTS ADVENTURE TULSA FUTSAL CLASH,Tulsa,Oklahoma
"Jan 3-4, 2025",2025 NEW YEARS SHOOTOUT,Orlando,Florida
"Jan 3-5, 2025",2025 KBC 6TH GRADE MIDDLE SCHOOL STATE TOURNAMENT,Lexington,Kentucky
"Jan 3, 2025",INDIANAPOLIS 3V3 HOLIDAY CLASSIC,Fishers,Indiana
"Jan 3-4, 2025",2025 NEW YEAR'S TIP OFF,Pocatello,Idaho
"Jan 3 - Mar 16, 2025",CCBL-PSG WINTER BASKETBALL GAMES 2025,Stockbridge,Georgia
"Jan 3, 2025",BSN SPORTS FRIDAY NIGHT MAIN EVENT,Stoughton,Wisconsin
"Jan 3-5, 2025",CITY CUP #2- 2025,Jonesboro,Georgia
"Jan 3-5, 2025",$99 TOURNAMENT (WWW.THESUPER6.COM),Orlando,Florida
"Jan 3-5, 2025",SYNERGY SPORTS ADVENTURE NEW YEARS FEST,OKC,Oklahoma
"Jan 3 - Mar 14, 2025",METRO EAST SPORTSPLEX BASKETBALL LEAGUE,Belleville,Illinois
"Jan 3-5, 2025",THE SOUTHERN SMOKE (NATIONAL EVENT),Plano/Mckinney,Texas
"Jan 3-4, 2025",2025 SI20 SHOWCASE,Concord,California
"Jan 3, 2025",REP FIELDHOUSE NEW YEAR'S CLASSIC,Columbus,Ohio
"Jan 3-4, 2025",HUSTLE NEW YEARS SHOWDOWN (SCHOOL TEAMS ONLY),Erlanger,Kentucky
"Jan 3-4, 2025",BRINGING IN THE NEW YEAR CLASSIC,Redford,Michigan
"Jan 4-5, 2025","2025 LAS VEGAS BALLIN, TARKANIAN BASKETBALL ACADEMY",Las Vegas,Nevada
"Jan 4-5, 2025",WINTER JAMBOREE,Seal Beach,California
"Jan 4, 2025",SPURS HOLIDAY CAMP,San Antonio,Texas
"Jan 4-5, 2025",ANNUAL FINDLAY BASKETBALL CLASSIC,Findlay,Ohio
"Jan 4 - Mar 8, 2025",YOUNGBLOOD LEAGUE 2025,Salt Lake City,Utah
"Jan 4-5, 2025",NATIONAL CUP SESSION ONE,Manalapan,New Jersey
"Jan 4-5, 2025",HOLIDAY HOOPFEST,PHOENIX,Arizona
"Jan 4-5, 2025",BIG EVENT ICE CLASSIC,Clarksville,Arkansas
"Jan 4-5, 2025",HYPE HER HOOPS: THE ICEBREAKER,Ladera Ranch,California
"Jan 4-5, 2025",EYE OF THE TIGER INVITATIONAL,COMMERCE,Georgia
"Jan 4, 2025",BOND BALL IS LIFE,Winston Salem,North Carolina
"Jan 4-5, 2025",WINTER SERIES EAST COAST SESSION III,Manheim,Pennsylvania
"Jan 4-5, 2025",ALODIA JANUARY JAMBOREE,Tomball,Texas
"Jan 4-5, 2025",STRICTLY HOOPS: NEW YEAR'S KICKOFF SOCAL,Anaheim,California
"Jan 4, 2025",HARDWOOD CLASSIC - DAL,Lewisville,Texas
"Jan 4-5, 2025",NEW YEAR BASH,Thousand Oaks,California
"Jan 4 - Feb 23, 2025",2025 EASTERN OHIO YOUTH BASKETBALL WINTER LEAGUE,Salem,Ohio
"Jan 4-5, 2025",HOOPS 24/7 MID-WINTER CLASSIC,Lake Forest,California
"Jan 4-5, 2025","MYT ""SOUTHERN INDIANA SHOWDOWN""",Floyds Knobs,Indiana
