,MODEL_NAME,PRICE,RATING,REVIEW
0,DELL 15 Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home) OVN353025001RING1O Thin and ...,"₹40,490",3.8,58 Ratings 
1,DELL Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3530 Thin and Light Lapto...,"₹33,990",4,194 Ratings 
2,Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15 - 4...,"₹38,990",4,801 Ratings 
3,Acer Aspire Lite AMD Ryzen 5 Hexa Core 5625U - (16 GB/1 TB SSD/Windows 11 Home) AL15-41 Thin and Light...,"₹37,990",4.1,"1,516 Ratings "
4,Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U - (16 GB/1 TB SSD/Windows 11 Home) A325-42 Thin and ...,"₹40,990",4,801 Ratings 
5,DELL 15 Intel Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) 3530 Laptop,"₹51,990",4,27 Ratings 
6,HP MS Office 2024 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) fd0465TU Thin and L...,"₹37,990",4.3,24 Ratings 
7,Lenovo IdeaPad 1 MSO'2024 AMD Ryzen 5 Hexa Core 5625U AMD Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/...,"₹36,990",4.2,414 Ratings 
8,Acer Aspire Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) AL15-52H Thin and Light...,"₹43,990",4.1,"1,137 Ratings "
9,ASUS Vivobook Go 14 (2025) with Office 2024 + M365 Basic* AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB ...,"₹39,990",4.2,"1,234 Ratings "
10,Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) IdeaPad Slim ...,"₹47,390",4.1,191 Ratings 
11,DELL Vostro Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 3520 Thin and Light Lapt...,"₹46,990",4.1,466 Ratings 
12,ASUS Vivobook 15 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ540WS | X...,"₹47,990",4.3,482 Ratings 
13,Acer Aspire Lite Intel Core i5 12th Gen 12450H - (16 GB/1 TB SSD/Windows 11 Home) AL15-52H Thin and Li...,"₹46,990",4.1,"1,137 Ratings "
14,ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic* Intel Core i3 13th Gen 1315U - (16 GB/512 GB SS...,"₹35,990",4.2,867 Ratings 
