,COMPANY_NAME,COMPANY_LINK
1,Encode Packaging,https://www.screener.in/company/530733/
2,ACE EduTremd Ltd,https://www.screener.in/company/530093/
3,Khyati Multimed.,https://www.screener.in/company/531692/
4,Rajvir Inds.,https://www.screener.in/company/RAJVIR/
5,Kiran Syntex,https://www.screener.in/company/530443/
6,Abhishek Infra.,https://www.screener.in/company/539544/consolidated/
7,Rajeswari Infra.,https://www.screener.in/company/526823/
8,Neogem India,https://www.screener.in/company/526195/
9,SBL Infratech,https://www.screener.in/company/543366/
10,Radhagobind Comm,https://www.screener.in/company/539673/
11,Svarnim Trade Ud,https://www.screener.in/company/539911/
12,Gangotri Textile,https://www.screener.in/company/GANGOTRI/
13,Sybly Industries,https://www.screener.in/company/531499/
14,Oxford Industrie,https://www.screener.in/company/514414/
15,India Radiators,https://www.screener.in/company/505100/
16,Epsom Properties,https://www.screener.in/company/531155/
17,Lak. Prec. Screw,https://www.screener.in/company/LAKPRE/
18,Unishire Urban,https://www.screener.in/company/537582/
19,Sikozy Realtors,https://www.screener.in/company/524642/
20,Sea TV Network,https://www.screener.in/company/533268/consolidated/
21,Aananda Lakshmi,https://www.screener.in/company/539096/
22,Ortel Commu.,https://www.screener.in/company/ORTEL/
23,Patidar Buildcon,https://www.screener.in/company/524031/
24,Olympic Cards,https://www.screener.in/company/534190/
25,Source Industrie,https://www.screener.in/company/521036/
26,Suumaya Corp.,https://www.screener.in/company/543274/
27,Gravity (India),https://www.screener.in/company/532015/
28,Harig Crankshaft,https://www.screener.in/company/500178/
29,UTL Industries,https://www.screener.in/company/500426/
30,United Textiles,https://www.screener.in/company/521188/
31,Mafia Trends,https://www.screener.in/company/543613/
32,Universal Arts,https://www.screener.in/company/532378/consolidated/
33,VXL Instruments,https://www.screener.in/company/517399/
34,Oscar Global,https://www.screener.in/company/530173/
35,Decorous Investm,https://www.screener.in/company/539405/
36,Athena Construc.,https://www.screener.in/company/539099/
37,JLA Infraville,https://www.screener.in/company/538765/
38,Spectra Industri,https://www.screener.in/company/513687/
39,Omkar Overseas,https://www.screener.in/company/531496/
40,Purple Entertain,https://www.screener.in/company/540159/
41,Net Avenue,https://www.screener.in/company/CBAZAAR/consolidated/
42,Nutech Global,https://www.screener.in/company/531304/
43,Woodsvilla,https://www.screener.in/company/526959/
44,Mega Nirman,https://www.screener.in/company/539767/
45,Golden Carpets,https://www.screener.in/company/531928/
46,Suncity Synth.,https://www.screener.in/company/530795/
47,Amit Internation,https://www.screener.in/company/531300/
48,Jayatma Industri,https://www.screener.in/company/531323/
49,Supertex Inds.,https://www.screener.in/company/526133/
50,Prashant India,https://www.screener.in/company/519014/
51,Kalahridhaan Tre,https://www.screener.in/company/KTL/
52,Mayur Leather,https://www.screener.in/company/531680/consolidated/
53,Filmcity Media,https://www.screener.in/company/531486/
54,Peeti Securities,https://www.screener.in/company/531352/
55,Vision Cinemas,https://www.screener.in/company/526441/consolidated/
56,Surbhi Industrie,https://www.screener.in/company/514260/
57,Purohit Const.,https://www.screener.in/company/538993/
58,Padmalaya Tele.,https://www.screener.in/company/PADMALAYAT/
59,Sailani Tours N,https://www.screener.in/company/543541/
60,Raconteur Global,https://www.screener.in/company/541703/
61,Naksh Precious,https://www.screener.in/company/539402/
62,Alps Industries,https://www.screener.in/company/ALPSINDUS/consolidated/
63,SAB Events,https://www.screener.in/company/SABEVENTS/
64,Kairosoft AI,https://www.screener.in/company/506122/
65,Vision Corpn.,https://www.screener.in/company/531668/
66,Sahaj Fashions,https://www.screener.in/company/SAHAJ/
67,Shanti Guru Inds,https://www.screener.in/company/534708/
68,KMF Builders,https://www.screener.in/company/531578/
69,Univa Foods,https://www.screener.in/company/UNIVAFOODS/
70,Shakti Press,https://www.screener.in/company/526841/
71,Amraworld Agrico,https://www.screener.in/company/531991/
72,NB Footwear,https://www.screener.in/company/523242/
73,East Buildtech,https://www.screener.in/company/507917/
74,Kuberan Global,https://www.screener.in/company/543289/
75,Magenta Life,https://www.screener.in/company/544188/
76,DAPS Advertising,https://www.screener.in/company/543651/
77,Santosh Fin Fab,https://www.screener.in/company/530035/
78,Prem. Synthetic,https://www.screener.in/company/509835/
79,Euro Leder Fash,https://www.screener.in/company/526468/
80,Kakatiya Textile,https://www.screener.in/company/521054/
81,Tejassvi Aaharam,https://www.screener.in/company/531628/
82,Sungold Media,https://www.screener.in/company/541799/
83,Sheshadri Indus.,https://www.screener.in/company/539111/
