,NAME,REVIEW,NO_OF_PEOPLE_RATINGS,COMAPANY TYPE,COMANY_HEADQUARTES
0,TCS,3.6,(1L),IT Services & Consulting , Bangalore / Bengaluru +412 other locations
1,Accenture,3.7,(64.7k),IT Services & Consulting , Bangalore / Bengaluru +228 other locations
2,Wipro,3.7,(58.3k),IT Services & Consulting , Bangalore / Bengaluru +357 other locations
3,Cognizant,3.7,(55.4k),IT Services & Consulting , Hyderabad / Secunderabad +212 other locations
4,Capgemini,3.7,(47.1k),IT Services & Consulting , Bangalore / Bengaluru +175 other locations
5,HDFC Bank,3.8,(44.6k),Banking , Mumbai +1714 other locations
6,Infosys,3.6,(43.7k),IT Services & Consulting , Bangalore / Bengaluru +231 other locations
7,ICICI Bank,4.0,(42.8k),Banking , Mumbai +1403 other locations
8,HCLTech,3.5,(40.5k),IT Services & Consulting , Chennai +217 other locations
9,Tech Mahindra,3.5,(38.9k),IT Services & Consulting , Hyderabad / Secunderabad +321 other locations
10,Genpact,3.7,(36.7k),IT Services & Consulting , Hyderabad / Secunderabad +162 other locations
11,Teleperformance,3.9,(33.2k),BPO , Mumbai +245 other locations
12,Concentrix Corporation,3.7,(28.9k),BPO , Bangalore / Bengaluru +168 other locations
13,Axis Bank,3.7,(28.9k),Banking , Mumbai +1440 other locations
14,Amazon,4.0,(27.8k),Internet , Bangalore / Bengaluru +500 other locations
15,Jio,4.2,(26.9k),Telecom , Mumbai +1582 other locations
16,iEnergizer,4.7,(25.3k),BPO , Noida +45 other locations
17,Reliance Retail,3.9,(24.6k),Retail , Mumbai +1106 other locations
18,IBM,3.9,(23.8k),IT Services & Consulting , Bangalore / Bengaluru +157 other locations
19,LTIMindtree,3.7,(23.1k),IT Services & Consulting , Bangalore / Bengaluru +135 other locations
