,MATCH_TITLE,VENUE,LINK
1,"Bangladesh vs Sri Lanka,","at Abu Dhabi, Sheikh Zayed Stadium",https://www.cricbuzz.com/live-cricket-scores/130058/ban-vs-sl-5th-match-group-b-asia-cup-2025
2,"India vs Pakistan,","at Dubai, Dubai International Cricket Stadium",https://www.cricbuzz.com/live-cricket-scores/130069/ind-vs-pak-6th-match-group-a-asia-cup-2025
3,"United Arab Emirates vs Oman,","at Abu Dhabi, Sheikh Zayed Stadium",https://www.cricbuzz.com/live-cricket-scores/130074/uae-vs-oman-7th-match-group-a-asia-cup-2025
4,"Sri Lanka vs Hong Kong,","at Dubai, Dubai International Cricket Stadium",https://www.cricbuzz.com/live-cricket-scores/130080/sl-vs-hk-8th-match-group-b-asia-cup-2025
5,"Bangladesh vs Afghanistan,","at Abu Dhabi, Sheikh Zayed Stadium",https://www.cricbuzz.com/live-cricket-scores/130085/ban-vs-afg-9th-match-group-b-asia-cup-2025
6,"Pakistan vs United Arab Emirates,","at Dubai, Dubai International Cricket Stadium",https://www.cricbuzz.com/live-cricket-scores/130096/pak-vs-uae-10th-match-group-a-asia-cup-2025
7,"Sri Lanka vs Afghanistan,","at Abu Dhabi, Sheikh Zayed Stadium",https://www.cricbuzz.com/live-cricket-scores/130102/sl-vs-afg-11th-match-group-b-asia-cup-2025
8,"India vs Oman,","at Abu Dhabi, Sheikh Zayed Stadium",https://www.cricbuzz.com/live-cricket-scores/130113/ind-vs-oman-12th-match-group-a-asia-cup-2025
9,"England vs South Africa,","at Nottingham, Trent Bridge",https://www.cricbuzz.com/live-cricket-scores/105812/eng-vs-rsa-3rd-t20i-south-africa-tour-of-england-2025
10,"Ireland vs England,","at Dublin, The Village",https://www.cricbuzz.com/live-cricket-scores/105844/ire-vs-eng-1st-t20i-england-tour-of-ireland-2025
11,"Ireland vs England,","at Dublin, The Village",https://www.cricbuzz.com/live-cricket-scores/105850/ire-vs-eng-2nd-t20i-england-tour-of-ireland-2025
